"RefDes","Value","Name","Part","Number of Pins","Pattern","Quantity","Description","Vendor","Manufacturer_Part_Number","Supersection","Family","Manufacturer_Name","R-S_Number","Allied_Number","Type","Value"
"3WJP1","","COOL-JP3","Part 1","3","COOL-JP3","1","","","","","","","","","",""
"4PR1","","4Pad_Rounded","Part 1","4","4Pad_Rounded","1","","","","","","","","","",""
"4PR2","","4Pad_Rounded","Part 1","4","4Pad_Rounded","1","","","","","","","","","",""
"BattPad1","","BattPad3","Part 1","2","BattPad3","1","","","","","","","","","",""
"BOOT_JP","","COOL-JP2","Part 1","2","COOL-JP2","1","","","","","","","","","",""
"C1","0.1uF","CAP0402","Part 1","2","CAP0402-CAP","1","","","","","","","","","","0.1uF"
"C2","0.1uF","CAP0402","Part 1","2","CAP0402-CAP","1","","","","","","","","","","0.1uF"
"C4","1uF","CAP0402","Part 1","2","CAP0402-CAP","1","","","","","","","","","","1uF"
"C5","4.7uF","CAP0402","Part 1","2","CAP0402-CAP","1","","","","","","","","","","4.7uF"
"C6","0.1uF","CAP0402","Part 1","2","CAP0402-CAP","1","","","","","","","","","","0.1uF"
"C7","2.2nF","CAP0402","Part 1","2","CAP0402-CAP","1","","","","","","","","","","2.2nF"
"C8","0.1uF","CAP0402","Part 1","2","CAP0402-CAP","1","","","","","","","","","","0.1uF"
"C9","0.1uF","CAP0402","Part 1","2","CAP0402-CAP","1","","","","","","","","","","0.1uF"
"C10","10nF","CAP0402","Part 1","2","CAP0402-CAP","1","Capacitor","","","","","","","","","10nF"
"C11","10uF","CAP0603-CAP","Part 1","2","0603-CAP","1","","","","","","","","","","10uF"
"C13","10uF","CAP0603-CAP","Part 1","2","0603-CAP","1","","","","","","","","","","10uF"
"C17","0.1uF","CAP0402","Part 1","2","CAP0402-CAP","1","","","","","","","","","","0.1uF"
"C18","0.1uF","CAP0402","Part 1","2","CAP0402-CAP","1","","","","","","","","","","0.1uF"
"C19","0.1uF","CAP0402","Part 1","2","CAP0402-CAP","1","","","","","","","","","","0.1uF"
"D1","BLUE","LED0603","Part 1","2","LED-0603","1","","","","","","","","","","BLUE"
"D3","GREEN","LED0603","Part 1","2","LED-0603","1","","","","","","","","","","GREEN"
"IRLML6344TRPBF1","","IRLML6344TRPBF","Part 1","3","SOT23","1","","","","","","","","","",""
"IRLML6344TRPBF2","","IRLML6344TRPBF","Part 1","3","SOT23","1","","","","","","","","","",""
"IRLML6344TRPBF3","","IRLML6344TRPBF","Part 1","3","SOT23","1","","","","","","","","","",""
"IRLML6344TRPBF4","","IRLML6344TRPBF","Part 1","3","SOT23","1","","","","","","","","","",""
"LDO_MAIN","","LP2992","Part 1","5","SOT23-5","1","","","","","","","","","",""
"LQH3NPN2R2MM1","","LQH3NPN2R2MM0","Part 1","2","LQH3NPN2R2MM0","1","","","","","","","","","",""
"Motor1(RR)","","BrushedConnector3","Part 1","2","BrushedConnector3","1","","","","","","","","","",""
"Motor2(FR)","","BrushedConnector3","Part 1","2","BrushedConnector3","1","","","","","","","","","",""
"Motor3(RL)","","BrushedConnector3","Part 1","2","BrushedConnector3","1","","","","","","","","","",""
"Motor4(FL)","","BrushedConnector3","Part 1","2","BrushedConnector3","1","","","","","","","","","",""
"MPU1","","MPU9150","Part 1","24","MPU9150","1","","","","","","","","","",""
"R1","10K","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","10K"
"R2","100R","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","100R"
"R3","1K","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","1K"
"R4","1K","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","1K"
"R5","1K","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","1K"
"R6","1K","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","1K"
"R9","100R","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","100R"
"R10","10K","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","10K"
"R11","10K","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","10K"
"R12","10K","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","10K"
"R13","10K","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","10K"
"R14","10K","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","10K"
"R15","100","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","100"
"R16","100","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","100"
"R17","100","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","100"
"R18","100","RES0402","Part 1","2","RESISTOR0402-RES","1","","","","","","","","","","100"
"SOLDER_JUMPER1","","COOL-JP2","Part 1","2","COOL-JP2","1","","","","","","","","","",""
"TPS1","","TPS63002","Part 1","11","S-PVSON-N10","1","","","","","","","","","",""
"U1","","STM32F103CBT6","Part 1","48","LQFP-48","1","STM32 Cortex,128k Fl,20k RAM,72MHz,CBT6","St Micro","STM32F103CBT6","Unknown","Unknown","STMicroelectronics","402273","Unknown","STM32F103CBT6",""
"Y1","8MHz","RESONATOR16MHZ","Part 1","3","RESONATOR-SMD","1","","","","","","","","","","8MHz"
"","","","","194","","52","","","","","","","","","",""
